"0 years","Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","East Timor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Pacific Islands",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0 years","Stateless",13,14,11,7,10,7,15,13,15,10,6,7,4,1,3
"0 years","Not stated",6,4,7,8,6,4,7,3,2,4,3,8,3,1,1
"1 year","Albania",5,2,11,6,5,15,7,10,4,8,14,12,11,16,16
"1 year","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Belarus",9,11,9,10,14,10,8,10,8,13,8,11,11,17,12
"1 year","Belgium",6,4,7,5,8,14,13,6,15,13,5,12,10,24,18
"1 year","Bosnia and Herzegovina",244,222,262,227,232,220,235,232,235,242,202,195,197,191,124
"1 year","Bulgaria",16,26,42,49,67,74,97,93,144,131,138,161,151,170,145
"1 year","Cyprus",0,1,0,0,2,3,1,1,2,1,0,1,0,3,4
"1 year","GDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Estonia",19,11,9,19,8,16,11,12,24,17,17,15,15,15,18
"1 year","Finland",14,16,18,18,18,26,24,23,15,23,29,24,23,28,18
"1 year","France",36,29,36,38,36,26,49,54,45,48,52,51,53,66,56
"1 year","Greece",2,1,4,11,5,9,13,18,25,30,42,30,38,40,35
"1 year","Ireland",3,1,2,3,7,6,5,5,6,5,8,15,7,7,8
"1 year","Iceland",185,148,136,106,120,105,106,105,106,104,91,86,85,91,90
"1 year","Italy",19,10,24,26,30,45,42,45,62,65,52,73,64,75,81
"1 year","Yugoslavia",118,116,114,102,110,87,89,90,70,68,53,41,48,39,29
"1 year","Yugoslavia, Federal Republic",39,31,40,28,31,17,20,23,11,13,9,9,10,11,6
"1 year","Kosovo",18,27,39,48,64,67,76,82,76,77,73,66,65,63,58
"1 year","Croatia",7,6,9,4,12,10,12,17,14,18,17,32,24,36,27
"1 year","Latvia",54,51,49,71,72,67,74,74,83,90,68,89,73,81,64
"1 year","Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Lithuania",89,110,122,146,156,207,177,200,229,196,238,220,222,217,193
"1 year","Luxembourg",0,0,1,0,1,1,3,2,1,1,2,1,2,4,3
"1 year","Malta",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"1 year","Moldova",3,6,11,2,8,13,12,16,22,17,21,31,42,32,41
"1 year","Monaco",0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"1 year","Montenegro",5,3,1,8,7,7,6,7,7,6,8,6,9,6,12
"1 year","Netherlands",75,63,45,44,42,41,31,46,41,47,50,42,52,55,49
"1 year","Northern Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Republic of North Macedonia",74,51,63,62,61,59,73,66,76,62,80,64,58,73,60
"1 year","Norway",67,55,54,52,58,56,53,65,64,57,73,60,68,81,57
"1 year","Poland",234,347,406,477,490,502,538,572,577,578,577,485,505,467,459
"1 year","Portugal",5,9,9,9,10,12,23,19,31,27,19,25,32,26,29
"1 year","Romania",52,94,115,145,237,260,391,486,566,630,661,782,655,747,679
"1 year","Russia",49,77,68,94,103,101,121,111,124,116,114,124,109,91,87
"1 year","San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Switzerland",4,5,7,6,8,6,8,4,7,6,5,7,13,13,9
"1 year","Serbia",22,22,22,30,39,34,50,31,59,57,56,41,51,56,49
"1 year","Serbia and Montenegro",22,16,24,18,13,12,17,12,20,10,11,13,12,13,9
"1 year","Slovakia",12,7,10,13,15,16,24,18,25,25,20,26,26,29,24
"1 year","Slovenia",2,4,3,4,8,6,4,6,8,4,4,7,4,5,5
"1 year","Soviet Union",1,7,4,6,3,2,4,7,5,5,2,5,2,2,2
"1 year","Spain",19,15,19,22,31,30,45,41,57,48,69,61,61,68,52
"1 year","United Kingdom",64,57,78,72,73,74,77,83,85,83,86,88,90,91,91
"1 year","Sweden",64,64,63,66,67,77,80,83,96,102,88,97,99,115,97
"1 year","Czech Republic",9,6,11,10,10,11,17,14,13,12,15,8,10,16,17
"1 year","Czechoslovakia",2,1,0,1,1,0,3,0,2,1,0,0,0,0,0
"1 year","Turkey",749,660,640,572,554,501,510,480,446,426,383,357,329,283,258
"1 year","Germany",144,166,154,146,176,155,152,183,165,186,168,187,190,243,229
"1 year","Ukraine",66,99,150,148,161,186,219,241,268,296,339,304,349,683,509
"1 year","Hungary",13,19,15,23,30,35,43,39,68,49,55,52,51,60,55
"1 year","Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Austria",7,8,11,7,11,4,8,11,9,4,9,9,9,11,9
"1 year","Europe not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Algeria",20,17,17,8,13,13,18,16,16,8,15,6,6,5,8
"1 year","Angola",0,1,2,1,2,2,0,4,2,0,2,2,1,2,2
"1 year","Benin",0,0,0,0,1,0,3,0,1,1,2,0,0,0,1
"1 year","Botswana",1,0,1,2,2,1,1,1,0,1,0,1,0,0,0
"1 year","Burkina Faso",1,0,1,1,0,0,0,1,0,2,0,1,0,0,1
"1 year","Burundi",15,18,22,11,15,14,14,12,15,9,9,12,8,9,10
"1 year","Cameroon",15,12,15,20,27,25,22,27,27,27,25,37,22,16,27
"1 year","Central African Republic",0,1,0,1,0,0,0,1,0,0,0,1,0,0,2
"1 year","Comoros",0,0,0,1,0,0,0,1,2,1,0,1,1,1,0
"1 year","Congo, Democratic Republic",17,22,16,34,37,41,54,51,66,67,42,58,44,45,46
"1 year","Congo, Republic",19,12,20,17,18,15,18,9,9,13,8,3,1,1,2
"1 year","Djibouti",1,1,2,2,2,2,3,1,2,0,2,1,1,0,0
"1 year","Egypt",25,24,20,18,21,21,20,18,17,17,15,19,14,15,19
"1 year","Ivory Coast",14,13,11,11,7,15,14,4,8,7,11,10,10,7,12
"1 year","Eritrea",5,6,9,3,6,15,21,87,116,210,323,265,259,262,257
"1 year","Eswantini",0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
"1 year","Ethiopia",15,24,18,24,33,32,35,34,37,41,27,35,35,34,32
"1 year","Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Gambia, The",10,14,9,13,3,10,11,14,11,7,10,5,16,1,5
"1 year","Ghana",27,39,28,30,43,27,45,42,38,42,37,31,46,28,34
"1 year","Guinea",3,0,1,0,1,2,3,4,3,3,3,2,2,3,3
"1 year","Guinea-Bissau",1,0,0,3,1,2,0,3,3,1,2,3,2,2,2
"1 year","Cape Verde",0,0,1,1,0,2,0,0,1,1,0,0,2,1,1
"1 year","Kenya",9,4,12,9,8,10,8,12,16,22,14,27,14,9,16
"1 year","Lesotho",0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
"1 year","Liberia",2,1,3,2,2,2,4,4,1,3,2,6,3,1,3
"1 year","Libya",9,8,10,7,5,5,10,5,15,5,6,3,4,7,9
"1 year","Madagascar",0,0,2,0,2,2,2,0,0,0,2,1,1,1,1
"1 year","Malawi",1,0,3,0,1,0,1,0,0,2,2,0,0,1,0
"1 year","Mali",0,0,1,2,1,2,2,0,0,1,1,0,0,1,0
"1 year","Morocco",163,133,151,131,111,121,116,129,107,102,109,90,81,87,58
"1 year","Mauritania",1,1,0,0,0,2,0,0,0,0,0,0,0,1,0
"1 year","Mauritius",1,0,0,0,1,0,2,0,1,1,1,1,1,0,1
"1 year","Mozambique",2,0,1,1,0,1,3,0,2,1,0,2,3,2,3
"1 year","Namibia",2,0,0,0,1,0,0,1,0,0,2,0,0,0,0
"1 year","Niger",0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"1 year","Nigeria",27,33,32,33,29,36,36,39,35,35,30,22,33,16,39
"1 year","Reunion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Rwanda",7,7,8,7,7,12,4,7,8,9,8,6,7,4,5
"1 year","Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Senegal",4,2,4,2,7,2,3,3,5,1,2,2,0,1,2
"1 year","Seychelles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1 year","Sierra Leone",8,9,9,14,7,3,7,8,12,6,8,3,2,3,2
"1 year","Saint Helena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 year","Somalia",462,429,404,360,356,429,389,392,397,332,295,247,217,181,187
"1 year","Spanish territories in Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
